Vb,Vc,Ib,Ic
0,5,4.9E-12,9.9E-12
0.1,5,4.9E-12,9.9E-12
0.2,5,4.8E-12,10E-12
0.3,5,4.6E-12,20.6E-12
0.4,5,0.6E-12,530E-12
0.5,5,244E-12,24.9E-9
0.6,5,11.9E-9,1.2E-6
0.7,4.999,554.9E-9,55.5E-6
0.8,4.97,15.1E-6,1.5E-3
0.9,4.852,74E-6,7.4E-3
1,4.69,154.9E-6,15.5E-3
1.1,4.514,243.2E-6,24.3E-3
1.2,4.33,334.9E-6,33.5E-3
1.3,4.143,428.6E-6,42.9E-3
1.4,3.953,523.4E-6,52.3E-3
1.5,3.762,619.1E-6,61.9E-3
1.6,3.569,715.3E-6,71.5E-3
1.7,3.376,812E-6,81.2E-3
1.8,3.182,909.1E-6,90.9E-3
1.9,2.987,1E-3,100.6E-3
2,2.792,1.1E-3,110.4E-3
2.1,2.596,1.2E-3,120.2E-3
2.2,2.4,1.3E-3,130E-3
2.3,2.204,1.4E-3,139.8E-3
2.4,2.008,1.5E-3,149.6E-3
2.5,1.811,1.6E-3,159.5E-3
2.6,1.614,1.7E-3,169.3E-3
2.7,1.417,1.8E-3,179.2E-3
2.8,1.22,1.9E-3,189E-3
2.9,1.022,2E-3,198.9E-3
3,824.765E-3,2.1E-3,208.8E-3
3.1,627.158E-3,2.2E-3,218.6E-3
3.2,429.473E-3,2.3E-3,228.5E-3
3.3,255.856E-3,2.4E-3,237.2E-3
3.4,205.486E-3,2.5E-3,239.7E-3
3.5,187.098E-3,2.6E-3,240.6E-3
3.6,176.139E-3,2.7E-3,241.2E-3
3.7,168.376E-3,2.8E-3,241.6E-3
3.8,162.379E-3,2.9E-3,241.9E-3
3.9,157.5E-3,3E-3,242.1E-3
4,153.392E-3,3.1E-3,242.3E-3
4.1,149.845E-3,3.2E-3,242.5E-3
4.2,146.727E-3,3.3E-3,242.7E-3
4.3,143.946E-3,3.4E-3,242.8E-3
4.4,141.437E-3,3.5E-3,242.9E-3
4.5,139.151E-3,3.6E-3,243E-3
4.6,137.054E-3,3.7E-3,243.1E-3
4.7,135.116E-3,3.8E-3,243.2E-3
4.8,133.316E-3,3.9E-3,243.3E-3
4.9,131.634E-3,4E-3,243.4E-3
5,130.058E-3,4.1E-3,243.5E-3
